Name	NEW NAME	clade	Long	Lat
T3483	"T3483 - Kiwengoma FR, Pwani, Tanzania"	stridens_other	38.90269	-8.30435
T3559	"T3559 - Muyuyu FR, Pwani, Tanzania"	fornasini_central	39.04373	-7.94835
T3636	"T3636 - Muyuyu FR, Pwani, Tanzania"	fornasini_central	39.04373	-7.94835
T3643	"T3643 - Muyuyu FR, Pwani, Tanzania"	concolor	39.04373	-7.94835
T3644	"T3644 - Tanzania, Muyuyu FR, Pwani"	flavomaculatus_other	39.04373	-7.94835
T3659	"T3659 - Ruawa FR, Lindi, Tanzania"	argenteus	39.56871	-9.72995
T3677	"T3677 - Ruawa FR, Lindi, Tanzania"	delicatus_south	39.56871	-9.72995
T3683	"T3683 - Ruawa FR, Lindi, Tanzania"	sylvaticus_other	39.56871	-9.72995
T3712	"T3712 - Dar es Salaam (university), Tanzania"	delicatus_central	39.20388	-6.77875
T3715	"T3715 - Dar es Salaam (university), Tanzania"	delicatus_central	39.20388	-6.77875
T3755	"T3755 - Vikindu FR, Pwani, Tanzania"	fornasini_south	39.29749	-6.99365
T3768	"T3768 - Tanzania, Kibasira swamp, Kilombero valley"	flavomaculatus_north	39.06615	-7.88088
T3782	"T3782 - Kibasira Swamp, Morogoro, Tanzania"	fornasini_central	36.2277	-8.34888
T3784	"T3784 - Kibasira Swamp, Morogoro, Tanzania"	fornasini_central	36.2277	-8.34888
T3802	"T3802 - Tanzania, Kibasira swamp, Kilombero valley"	flavomaculatus_central	36.2277	-8.34888
T3809	"T3809 - Tanzania, Kibasira swamp, Kilombero valley"	flavomaculatus_south	36.31764	-8.31238
T3818	"T3818 - Kibasira Swamp, Morogoro, Tanzania"	sylvaticus_other	36.31764	-8.31238
T3832	"T3832 - Ruvu North FR, Pwani, Tanzania"	delicatus_central	38.97007	-6.71349
T3833	"T3833 - Ruvu North FR, Pwani, Tanzania"	delicatus_central	38.97007	-6.71349
T3840	"T3840 - Ruvu North FR, Pwani, Tanzania"	fornasini_south	38.97007	-6.71349
T3841	"T3841 - Ruvu North FR, Pwani, Tanzania"	fornasini_north	38.97007	-6.71349
T4021	"T4021 - Ruvu North FR, Pwani, Tanzania"	concolor	38.8713	-6.71173
T4036	"T4036 - Mafia island, Tanzania"	fornasini_south	39.71429	-7.96261
T4050	"T4050 - Mafia island, Tanzania"	fornasini_south	39.79531	-7.84898
T4075	"T4075 - Tanzania, Zaraninge FR, Pwani"	flavomaculatus_north	38.60755	-6.13694
T4076	"T4076 - Zaraninge FR, Pwani, Tanzania"	fornasini_north	38.60755	-6.13694
T4087	"T4087 - Zaraninge FR, Pwani, Tanzania"	delicatus_central	38.60755	-6.13694
T4088	"T4088 - Zaraninge FR, Pwani, Tanzania"	delicatus_central	38.60755	-6.13694
T4098	"T4098 - Tanzania, Gendagenda North FR, Tanga"	flavomaculatus_north	38.64486	-5.58302
T4100	"T4100 - Tanzania, Gendagenda North FR, Tanga"	flavomaculatus_central	38.64486	-5.58302
T4101	"T4101 - Tanzania, Gendagenda North FR, Tanga"	flavomaculatus_north	38.64486	-5.58302
T4133	"T4133 - Amboni caves, Tanga, Tanzania"	stridens_north	39.04843	-5.0731
T4148	"T4148 - Amboni caves, Tanga, Tanzania"	concolor	39.04843	-5.0731
T4167	"T4167 - Mabayani bwawa, Tanga, Tanzania"	fornasini_north	38.92436	-5.03361
T4178	"T4178 - Mabayani bwawa, Tanga, Tanzania"	fornasini_north	38.92436	-5.03361
T4187	"T4187 - Mabayani bwawa, Tanga, Tanzania"	stridens_north	38.92436	-5.03361
T4194	"T4194 - Mabayani bwawa, Tanga, Tanzania"	concolor	38.92436	-5.03361
T4195	"T4195 - Mabayani bwawa, Tanga, Tanzania"	concolor	38.92436	-5.03361
T4199	"T4199 - Tanzania, Mabayani bwawa, Tanga"	flavomaculatus_central	38.92436	-5.03361
T4200	"T4200 - Tanzania, Mabayani bwawa, Tanga"	flavomaculatus_north	38.92436	-5.03361
T4201	"T4201 - Mabayani bwawa, Tanga, Tanzania"	stridens_north	38.92436	-5.03361
T4236	"T4236 - Horohoro, Tanga, Tanzania"	delicatus_north	39.10166	-4.63209
T4256	"T4256 - Kilulu, Tanga, Tanzania"	concolor	39.11713	-4.74908
T4258	"T4258 - Kilulu, Tanga, Tanzania"	concolor	39.11713	-4.74908
T4289	"T4289 - Chimanimani, Zimbabwe"	xenodactyloides	32.98439	-19.891993
T4383	"T4383 - Dar es Salaam, Tanzania"		39.285736	-6.786671
T4384	"T4384 - Dar es Salaam, Tanzania"	flavomaculatus_north	39.285736	-6.786671
T4385	"T4385 - Ruipa, Ranger post, Tanzania"	fornasini_central	37.034722	-9.168889
T4386	"T4386 - Ruipa, Ranger post, Tanzania"	fornasini_central	37.034722	-9.168889
T4424	"T4424 - Uluguru Mountains - Mvuha FR, Tanzania"		37.8375	-7.179167
T4425	"T4425 - Uluguru Mountains - Mvuha FR, Tanzania"	fornasini_south	37.8375	-7.179167
T4426	T4426 - Kwamgumi FR. Tanzania	fornasini_north	38.732778	-4.923056
T4427	"T4427 - Nilo FR, Tanzania"		38.6625	-4.904444
T4428	"T4428 - Nilo FR, Tanzania"		38.6625	-4.904444
T4461	T4461 - Mgambo	stridens_north	38.812972	-4.792
T4534	"T4534 - Tanzania, Nilo FR, East Usambara"	flavomaculatus_north	38.6625	-4.904444
T4536	"T4536 - Tanzania, Nilo FR, East Usambara"	flavomaculatus_north	38.6625	-4.904444
T4537	"T4537 - Tanzania, Milawilia FR, Uluguru Mountains"	flavomaculatus_north	37.75	-6.979167
T4538	"T4538 - Tanzania, Mkungwe FR, Uluguru Mountains"	flavomaculatus_north	37.915	-6.868611
T4540	"T4540 - Tanzania, Mvuha FR, Uluguru Mountains"	flavomaculatus_central	37.8375	-7.179167
T4606	"T4606 - Mozambique, Mount Mabu"	flavomaculatus_south	36.587563	-16.313055
T4672	"T4672 - Tanzania, Chita/Funo, USFR"	flavomaculatus_south	35.89458853	-8.527924487
T4767	T4767 - 2nd stream 12 km north of Namina	sylvaticus_south	38.73536111	-14.84736111
T4770	T4770 - upper Montepeuz river crossing site	delicatus_south	38.58677778	-13.40794444
T4771	T4771 - upper Montepeuz river crossing site		38.58677778	-13.40794444
T4773	T4773 - Dereks house wetland	delicatus_south	40.35415556	-12.93333333
T4781	T4781 - Montepuez river near Chiefs house	stridens_other	38.7094	-13.3184
T4784	T4784 - R. Diquide	argenteus	40.42827222	-11.88333333
T4795	"T4795 - Ruvu South FR, Tanzania"	fornasini_north	38.8125	-6.895222
T4796	"T4796 - Ruvu South FR, Tanzania"		38.762167	-6.901083
T4834	"T4834 - Tanzania, Kazimzumbwi FR, Pwani "		39.053472	-6.942528
T4847	"T4847 - Tanzania, Kimboza forest, Uluguru Mountains"	flavomaculatus_north	37.80356	-7.005459
T4923	"T4923 - Tanzania, Kimboza forest, Uluguru Mountains"	flavomaculatus_south	37.80356	-7.005459
