#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.Lflavomaculatus_thinned" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.Lflavomaculatus_thinned" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.Lflavomaculatus_thinned" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.Lflavomaculatus_thinned" spec="snap.Data">
#                    <taxonset id="North" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T2641" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T4923" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3432" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T4101" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="South" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T3198" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3107" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3081" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3191" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Moz" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T4606" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3419" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3416" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Taratibu" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T5628" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T5631" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T5621" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.Lflavomaculatus_thinned" name="distribution">
#            <parameter id="u" lower="0.0" name="x">1.4698153755983197</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.Lflavomaculatus_thinned" name="distribution">
#            <parameter id="v" lower="0.0" name="x">0.7577810233682515</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.Lflavomaculatus_thinned" id="treeLikelihood.Lflavomaculatus_thinned" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.Lflavomaculatus_thinned">
#            <siteModel id="MutationSiteModel.Lflavomaculatus_thinned" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	TreeHeightLogger
16000	-68954.23605453302	-68692.96347970571	-261.27257482731267	1.3811961958550112	0.783705264702634	1.479191749005367	1.1843837987675256	0.7421145342312737	0.9391178305743428	1.0783806977134511	1.1630211208148464	0.7783753259099996	0.2328569424527929
17000	-68949.31904042205	-68695.19929654087	-254.11974388117943	1.3761104962965827	0.7853521342990161	1.4106456114218833	1.183866474487784	0.7634845233177671	1.0359425020994684	1.145194257480849	1.1250687661090946	0.7206245983533596	0.23333132431371234
18000	-68952.15971294834	-68700.35895294101	-251.80076000733806	1.3821276582019173	0.7834056926744444	1.5539918341980272	1.1249028887203427	0.7470235410452428	1.0801029452734225	1.1248913793434772	1.175949589534584	0.8443690701729657	0.22380418732451418
19000	-68951.9848975506	-68692.1554482742	-259.82944927640006	1.3950384361329122	0.7793176135319347	1.4522600533783785	1.2091554978759764	0.7348532084136713	0.9625785105469266	1.1451528178895198	1.143271671624199	0.7446163080243781	0.23988471289487123
20000	-68951.91715083555	-68698.55287315122	-253.36427768433427	1.3802763986551438	0.7840017071705448	1.4764197407885447	1.2199197909299166	0.7889526872785696	1.0708406988116046	1.144375926384329	1.1487257662467107	0.8016811238680334	0.2362607008567155
21000	-68947.21814491179	-68695.16304206316	-252.05510284863712	1.3802763986551438	0.7840017071705448	1.4794629052860349	1.1767333722175393	0.7580198272897091	1.0952304913708204	1.185492537126312	1.1715589949575553	0.7794554831240492	0.22263750176325478
22000	-68948.10311937002	-68688.8350438377	-259.26807553231936	1.3754072146588623	0.7855813795153865	1.4919946279174168	1.161255724613069	0.7614267695300165	1.0778013324699176	1.1789916067654613	1.1229130717247804	0.7502098118368408	0.24008058174173372
23000	-68954.00951755195	-68709.70901036034	-244.30050719161312	1.36610714592487	0.7886478897862438	1.416311194238759	1.1234283135907137	0.7379950126385666	1.0388498500660917	1.1109366632602424	1.0607438740098605	0.7497412438613036	0.24155314710285
24000	-68953.9487401518	-68680.50634469253	-273.44239545926945	1.3636609167825755	0.7894654547195828	1.5239955488126162	1.2352097364535404	0.7135916560148228	1.0270412831312257	1.1256961478787566	1.1189585000107762	0.7252856136030107	0.24768019693073293
25000	-68949.3573034889	-68702.97749265314	-246.37981083575167	1.3993792960517373	0.7779694852855703	1.4475244897612176	1.1814435913675163	0.765858544693433	1.0725358714806137	1.188025917651741	1.1570521247002186	0.7811003419055486	0.2366105217077995
26000	-68954.84247726423	-68687.83872961818	-267.00374764604936	1.3502456148067725	0.7940326837872785	1.5047626721239684	1.1369887013118183	0.7936430703664371	1.0056729259440307	1.090938568244921	1.1056926728538266	0.7444551646674116	0.2325571988944496
27000	-68947.56510912404	-68701.2904874666	-246.27462165743827	1.370617193191588	0.7871526107628626	1.4531809075528004	1.1491726791118857	0.7778391943141322	1.0966712042607014	1.1611881985603183	1.1955010551851253	0.7789783855877578	0.23126633885811199
28000	-68950.99432727782	-68663.99350284746	-287.000824430359	1.385174587941657	0.782430159434805	1.6135759369100984	1.2313469220552427	0.7729484055352299	1.108626542191881	1.1811773505281042	1.1587207523435028	0.729952984420425	0.24896750515662944
29000	-68950.00832818905	-68684.54087064182	-265.46745754722565	1.388001511475678	0.7815310523340785	1.5467659663678324	1.1782980167586043	0.7619735405766639	1.0058240944644978	1.1605885649474044	1.1547223951412668	0.7790733133790101	0.24142014972561188
30000	-68949.16579462733	-68673.30972548961	-275.8560691377268	1.3827284726165403	0.7832127973157617	1.5737374240409585	1.233887702867158	0.7854663456265706	1.1054271814291559	1.2142958617494375	1.1976941163342711	0.7467795691262741	0.2398261971989239
31000	-68947.9468818381	-68679.05759891242	-268.88928292567425	1.3857903435296643	0.7822338286098371	1.5451962007346933	1.1862043940339022	0.7861132200409161	1.0419549435801632	1.1465062131503754	1.1797859556361945	0.7396127333682083	0.25071052502384206
32000	-68950.54438665675	-68705.06637904655	-245.478007610206	1.363135397504842	0.7896416955239025	1.4381124635350235	1.1956083748256991	0.7689249753824776	1.0839524907438443	1.1862334668981198	1.2454026272133163	0.7906117867232813	0.23303228058649167
33000	-68951.62733166393	-68708.5152002057	-243.11213145822924	1.3724897740181388	0.7865363095875122	1.4307076364970432	1.0959711547821573	0.7908709295583942	0.9940147207079386	1.1009727811854677	1.1624626582934772	0.776356595196553	0.2324894577567897
34000	-68947.46697787612	-68690.4100044584	-257.0569734177058	1.3724897740181388	0.7865363095875122	1.4763628091662648	1.2053666727749768	0.7551139877160358	1.1112350133258218	1.2013427383644917	1.1771202675653556	0.741837589153526	0.24533569852033243
35000	-68946.77584839992	-68681.37344494203	-265.40240345788607	1.381476377161683	0.7836150876839031	1.5103818886006253	1.2268427264186268	0.7701620565593051	1.110016391826129	1.2091799441833457	1.1713509265250241	0.7380659627966556	0.245807959464569
